(1.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.51438,0.75106),(-0.05068,-0.07399),(0.00000,0.00000),(0.33339,-0.22833),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.05068,-0.07399),(0.51438,0.75106),(0.00000,0.00000),(0.33339,-0.22833),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.30052,0.77528),(0.00000,0.00000),(0.33086,0.12825),(0.33086,0.12825),(0.00000,0.00000),(0.08613,-0.22220),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.33339,-0.22833),(0.33339,-0.22833),(0.00000,0.00000),(0.46370,0.67706),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.33086,0.12825),(0.00000,0.00000),(-0.27007,0.69672),(0.09136,-0.23568),(0.00000,0.00000),(0.46791,0.18138),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.33086,0.12825),(0.00000,0.00000),(0.09136,-0.23568),(-0.27007,0.69672),(0.00000,0.00000),(0.46791,0.18138),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.63497,0.14914),(0.00000,0.00000),(0.12256,0.52179),(0.12256,0.52179),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.08613,-0.22220),(0.00000,0.00000),(0.46791,0.18138),(0.46791,0.18138),(0.00000,0.00000),(-0.23962,0.61816),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.12256,0.52179),(0.00000,0.00000),(-0.80424,0.18890),(0.16927,-0.03976),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.12256,0.52179),(0.00000,0.00000),(0.16927,-0.03976),(-0.80424,0.18890),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.73874,-0.67399)
